,Freq,review,pos_tag,neg,neu,pos,compound
60,834,i   n   t   e   r   n   s   h   i   p,"('i   n   t   e   r   n   s   h   i   p', 'NN')",0.0,0.0,0.0,0.0
75,812,w   e   e   k,"('w   e   e   k', 'NN')",0.0,0.0,0.0,0.0
193,732,t   a   s   k,"('t   a   s   k', 'NN')",0.0,0.0,0.0,0.0
93,637,g   o   o   d,"('g   o   o   d', 'NN')",0.0,0.0,0.0,0.0
720,592,s   u   c   c   e   s   s   f   u   l   l   i,"('s   u   c   c   e   s   s   f   u   l   l   i', 'NN')",0.0,0.0,0.0,0.0
87,541,w   e   l   l,"('w   e   l   l', 'NN')",0.0,0.0,0.0,0.0
84,517,s   k   i   l   l,"('s   k   i   l   l', 'NN')",0.0,0.0,0.0,0.0
144,516,c   o   m   p   l   e   t   e   d,"('c   o   m   p   l   e   t   e   d', 'NN')",0.0,0.0,0.0,0.0
196,511,w   o   r   k,"('w   o   r   k', 'NN')",0.0,0.0,0.0,0.0
1348,501,e   n   c   o   u   r   a   g  ,"('e   n   c   o   u   r   a   g  ', 'VBZ')",0.0,0.0,0.0,0.0
310,449,a   l   s   o,"('a   l   s   o', 'VBZ')",0.0,0.0,0.0,0.0
29,398,t   i   m  ,"('t   i   m  ', 'NN')",0.0,0.0,0.0,0.0
519,394,c   h   a   l   l   e   n   g  ,"('c   h   a   l   l   e   n   g  ', 'NN')",0.0,0.0,0.0,0.0
268,391,n   e   w,"('n   e   w', 'JJ')",0.0,0.0,0.0,0.0
355,384,e   n   d,"('e   n   d', 'NN')",0.0,0.0,0.0,0.0
410,364,t   e   a   m,"('t   e   a   m', 'NN')",0.0,0.0,0.0,0.0
701,346,m   a   n   a   g   e   d,"('m   a   n   a   g   e   d', 'NN')",0.0,0.0,0.0,0.0
1518,315,a   p   p,"('a   p   p', 'VBZ')",0.0,0.0,0.0,0.0
70,277,s   t   u   d   e   n   t,"('s   t   u   d   e   n   t', 'VBD')",0.0,0.0,0.0,0.0
80,269,a   c   q   u   i   r   e   d,"('a   c   q   u   i   r   e   d', 'JJ')",0.0,0.0,0.0,0.0
178,264,s   y   s   t   e   m,"('s   y   s   t   e   m', 'NN')",0.0,0.0,0.0,0.0
102,256,a   b   l  ,"('a   b   l  ', 'NN')",0.0,0.0,0.0,0.0
578,244,s   e   r   v   e   r,"('s   e   r   v   e   r', 'VBD')",0.0,0.0,0.0,0.0
69,244,l   e   a   r   n,"('l   e   a   r   n', 'JJ')",0.0,0.0,0.0,0.0
1137,242,c   o   d   i   n   g,"('c   o   d   i   n   g', 'NN')",0.0,0.0,0.0,0.0
185,239,d   a   t   a,"('d   a   t   a', 'NN')",0.0,0.0,0.0,0.0
537,237,r   e   p   o   r   t,"('r   e   p   o   r   t', 'NN')",0.0,0.0,0.0,0.0
249,237,u   s   i   n   g,"('u   s   i   n   g', 'JJ')",0.0,0.0,0.0,0.0
233,234,w   o   r   k   i   n   g,"('w   o   r   k   i   n   g', 'NN')",0.0,0.0,0.0,0.0
527,231,c   h   a   l   l   e   n   g  ,"('c   h   a   l   l   e   n   g  ', 'NN')",0.0,0.0,0.0,0.0
112,212,d   o   n  ,"('d   o   n  ', 'NN')",0.0,0.0,0.0,0.0
854,211,d   e   t   a   i   l,"('d   e   t   a   i   l', 'NN')",0.0,0.0,0.0,0.0
9,210,p   r   o   j   e   c   t,"('p   r   o   j   e   c   t', 'NN')",0.0,0.0,0.0,0.0
560,207,s   e   t,"('s   e   t', 'NN')",0.0,0.0,0.0,0.0
390,203,d   e   v   e   l   o   p   m   e   n   t,"('d   e   v   e   l   o   p   m   e   n   t', 'NN')",0.0,0.0,0.0,0.0
168,202,n   o   t,"('n   o   t', 'CC')",0.0,0.0,0.0,0.0
221,197,u   s  ,"('u   s  ', 'JJ')",0.0,0.0,0.0,0.0
2390,195,s   u   p   p   o   s   e   d,"('s   u   p   p   o   s   e   d', 'NN')",0.0,0.0,0.0,0.0
687,195,m   o   b   i   l  ,"('m   o   b   i   l  ', 'NN')",0.0,0.0,0.0,0.0
158,193,t   a   s   k,"('t   a   s   k', 'NN')",0.0,0.0,0.0,0.0
596,192,w   e   b   s   i   t  ,"('w   e   b   s   i   t  ', 'NN')",0.0,0.0,0.0,0.0
152,185,n   e   t   w   o   r   k,"('n   e   t   w   o   r   k', 'CC')",0.0,0.0,0.0,0.0
91,185,p   r   o   g   r   e   s  ,"('p   r   o   g   r   e   s  ', 'VBP')",0.0,0.0,0.0,0.0
96,185,l   e   a   r   n   i   n   g,"('l   e   a   r   n   i   n   g', 'JJ')",0.0,0.0,0.0,0.0
3210,177,e   x   p   l   a   i   n   i   n   g,"('e   x   p   l   a   i   n   i   n   g', 'NN')",0.0,0.0,0.0,0.0
1934,175,s   t   r   a   t   c   o   m,"('s   t   r   a   t   c   o   m', 'NN')",0.0,0.0,0.0,0.0
442,174,d   e   v   i   c  ,"('d   e   v   i   c  ', 'NN')",0.0,0.0,0.0,0.0
210,173,g   r   e   a   t,"('g   r   e   a   t', 'NN')",0.0,0.0,0.0,0.0
498,173,g   o   i   n   g,"('g   o   i   n   g', 'NN')",0.0,0.0,0.0,0.0
766,171,a   l   w   a   y  ,"('a   l   w   a   y  ', 'VBZ')",0.0,0.0,0.0,0.0
673,169,c   o   m   p   l   e   t  ,"('c   o   m   p   l   e   t  ', 'JJ')",0.0,0.0,0.0,0.0
494,163,p   h   p,"('p   h   p', 'NN')",0.0,0.0,0.0,0.0
1409,157,w   i   t   h   o   u   t,"('w   i   t   h   o   u   t', 'NN')",0.0,0.0,0.0,0.0
1211,157,t   r   a   i   n   i   n   g,"('t   r   a   i   n   i   n   g', 'NN')",0.0,0.0,0.0,0.0
21,156,s   o   f   t   w   a   r  ,"('s   o   f   t   w   a   r  ', 'NN')",0.0,0.0,0.0,0.0
1658,155,w   r   i   t  ,"('w   r   i   t  ', 'NN')",0.0,0.0,0.0,0.0
708,155,w   e   b,"('w   e   b', 'NN')",0.0,0.0,0.0,0.0
645,152,n   e   t   w   o   r   k   i   n   g,"('n   e   t   w   o   r   k   i   n   g', 'JJ')",0.0,0.0,0.0,0.0
200,151,a   s   s   i   g   n   e   d,"('a   s   s   i   g   n   e   d', 'NN')",0.0,0.0,0.0,0.0
440,150,h   a   n   d,"('h   a   n   d', 'NN')",0.0,0.0,0.0,0.0
317,150,p   r   a   c   t   i   c  ,"('p   r   a   c   t   i   c  ', 'NN')",0.0,0.0,0.0,0.0
330,148,i   n   t   e   r   n   e   t,"('i   n   t   e   r   n   e   t', 'NN')",0.0,0.0,0.0,0.0
215,146,k   n   o   w   l   e   d   g  ,"('k   n   o   w   l   e   d   g  ', 'NN')",0.0,0.0,0.0,0.0
946,143,f   i   r   s   t,"('f   i   r   s   t', 'NN')",0.0,0.0,0.0,0.0
58,142,s   t   a   r   t   e   d,"('s   t   a   r   t   e   d', 'NN')",0.0,0.0,0.0,0.0
657,142,d   a   t   a   b   a   s  ,"('d   a   t   a   b   a   s  ', 'NN')",0.0,0.0,0.0,0.0
721,142,f   i   n   i   s   h   e   d,"('f   i   n   i   s   h   e   d', 'NN')",0.0,0.0,0.0,0.0
1111,139,p   r   a   c   t   i   c   a   l,"('p   r   a   c   t   i   c   a   l', 'NN')",0.0,0.0,0.0,0.0
431,139,n   e   x   t,"('n   e   x   t', 'JJ')",0.0,0.0,0.0,0.0
615,137,k   e   e   p,"('k   e   e   p', 'NN')",0.0,0.0,0.0,0.0
1596,135,p   r   e   s   e   n   t,"('p   r   e   s   e   n   t', 'NN')",0.0,0.0,0.0,0.0
768,134,u   s   e   d,"('u   s   e   d', 'JJ')",0.0,0.0,0.0,0.0
787,131,d   e   s   p   i   t  ,"('d   e   s   p   i   t  ', 'NN')",0.0,0.0,0.0,0.0
246,131,g   e   t,"('g   e   t', 'NN')",0.0,0.0,0.0,0.0
271,129,c   o   m   m   a   n   d,"('c   o   m   m   a   n   d', 'NN')",0.0,0.0,0.0,0.0
515,129,m   a   n   a   g   e   m   e   n   t,"('m   a   n   a   g   e   m   e   n   t', 'NN')",0.0,0.0,0.0,0.0
344,125,d   e   s   i   g   n,"('d   e   s   i   g   n', 'NN')",0.0,0.0,0.0,0.0
700,121,s   y   s   t   e   m,"('s   y   s   t   e   m', 'NN')",0.0,0.0,0.0,0.0
516,117,a   p   p   l   i   c   a   t   i   o   n,"('a   p   p   l   i   c   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
270,116,l   i   k  ,"('l   i   k  ', 'VBZ')",0.0,0.0,0.0,0.0
239,112,c   o   d  ,"('c   o   d  ', 'NN')",0.0,0.0,0.0,0.0
204,111,b   e   s   t,"('b   e   s   t', 'NN')",0.0,0.0,0.0,0.0
48,109,i   n   t   e   r   n,"('i   n   t   e   r   n', 'NN')",0.0,0.0,0.0,0.0
1745,109,i   n   c   a   s  ,"('i   n   c   a   s  ', 'NN')",0.0,0.0,0.0,0.0
1068,108,e   n   v   i   r   o   n   m   e   n   t,"('e   n   v   i   r   o   n   m   e   n   t', 'VBZ')",0.0,0.0,0.0,0.0
938,108,s   i   n   c  ,"('s   i   n   c  ', 'JJ')",0.0,0.0,0.0,0.0
1964,107,c   o   n   t   a   c   t,"('c   o   n   t   a   c   t', 'NN')",0.0,0.0,0.0,0.0
427,105,w   e   e   k,"('w   e   e   k', 'VBD')",0.0,0.0,0.0,0.0
150,104,s   e   t   t   i   n   g,"('s   e   t   t   i   n   g', 'JJ')",0.0,0.0,0.0,0.0
1495,104,r   e   m   o   t  ,"('r   e   m   o   t  ', 'NN')",0.0,0.0,0.0,0.0
815,102,e   a   s  ,"('e   a   s  ', 'NN')",0.0,0.0,0.0,0.0
1869,101,l   i   n   u   x,"('l   i   n   u   x', 'NN')",0.0,0.0,0.0,0.0
1428,101,c   i   s   c   o,"('c   i   s   c   o', 'NN')",0.0,0.0,0.0,0.0
1965,101,l   e   a   d,"('l   e   a   d', 'NN')",0.0,0.0,0.0,0.0
3581,97,r,"('r', 'NN')",0.0,0.0,0.0,0.0
2105,97,i   o,"('i   o', 'NN')",0.0,0.0,0.0,0.0
114,96,b   e   t   t   e   r,"('b   e   t   t   e   r', 'NN')",0.0,0.0,0.0,0.0
492,94,g   i   v   e   n,"('g   i   v   e   n', 'NN')",0.0,0.0,0.0,0.0
397,93,c   o   n   f   i   g   u   r  ,"('c   o   n   f   i   g   u   r  ', 'NN')",0.0,0.0,0.0,0.0
2305,91,l   a   y   e   r,"('l   a   y   e   r', 'NN')",0.0,0.0,0.0,0.0
924,91,m   a   k  ,"('m   a   k  ', 'NN')",0.0,0.0,0.0,0.0
17,91,u   n   d   e   r   s   t   a   n   d   i   n   g,"('u   n   d   e   r   s   t   a   n   d   i   n   g', 'JJ')",0.0,0.0,0.0,0.0
1115,90,d   e   v   e   l   o   p   e   r,"('d   e   v   e   l   o   p   e   r', 'NN')",0.0,0.0,0.0,0.0
1002,89,c   o   n   n   e   c   t   i   o   n,"('c   o   n   n   e   c   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
2130,87,3,"('3', 'CD')",0.0,0.0,0.0,0.0
338,87,m   a   i   n,"('m   a   i   n', 'NN')",0.0,0.0,0.0,0.0
1987,85,e   q   u   i   p,"('e   q   u   i   p', 'NN')",0.0,0.0,0.0,0.0
19,84,c   o   n   c   e   p   t,"('c   o   n   c   e   p   t', 'NN')",0.0,0.0,0.0,0.0
496,84,s   t   a   r   t,"('s   t   a   r   t', 'NN')",0.0,0.0,0.0,0.0
38,83,d   i   f   f   e   r   e   n   t,"('d   i   f   f   e   r   e   n   t', 'NN')",0.0,0.0,0.0,0.0
3061,83,6,"('6', 'CD')",0.0,0.0,0.0,0.0
634,81,s   h   a   r  ,"('s   h   a   r  ', 'NN')",0.0,0.0,0.0,0.0
1373,80,w   o   r   k   e   d,"('w   o   r   k   e   d', 'NN')",0.0,0.0,0.0,0.0
25,80,f   o   r   w   a   r   d,"('f   o   r   w   a   r   d', 'NN')",0.0,0.0,0.0,0.0
361,80,c   o   m   p   a   n   i,"('c   o   m   p   a   n   i', 'NN')",0.0,0.0,0.0,0.0
1097,79,l   a   n,"('l   a   n', 'NN')",0.0,0.0,0.0,0.0
485,78,r   e   s   e   a   r   c   h,"('r   e   s   e   a   r   c   h', 'NN')",0.0,0.0,0.0,0.0
2579,77,p   e   r   f   e   c   t   e   d,"('p   e   r   f   e   c   t   e   d', 'NN')",0.0,0.0,0.0,0.0
247,77,s   t   i   l   l,"('s   t   i   l   l', 'NN')",0.0,0.0,0.0,0.0
759,77,b   i   t,"('b   i   t', 'NN')",0.0,0.0,0.0,0.0
165,77,j   o   b,"('j   o   b', 'NN')",0.0,0.0,0.0,0.0
2729,76,p   l   a   n,"('p   l   a   n', 'NN')",0.0,0.0,0.0,0.0
1914,75,c   o   m   p   e   t   e   n   c  ,"('c   o   m   p   e   t   e   n   c  ', 'NN')",0.0,0.0,0.0,0.0
411,75,m   e   m   b   e   r,"('m   e   m   b   e   r', 'NN')",0.0,0.0,0.0,0.0
188,74,c   o   m   p   u   t   e   r,"('c   o   m   p   u   t   e   r', 'NN')",0.0,0.0,0.0,0.0
626,74,w   i   n   d   o   w,"('w   i   n   d   o   w', 'NN')",0.0,0.0,0.0,0.0
